Seed,Stronghold Seed,Location
-681773933,3630201793,"1620,1620"
-888944660,3369382265,"1684,36"
-1559571382,1270379033,"340,-860"
1176017357,4232312206,"116,-1628"
412773578,3345818081,"-604,692"
230210189,844507943,"-1580,-236"
-466322800,4180682555,"-1212,-908"
2145235584,4274262272,"1364,788"
900745372,2838891414,"740,-444"
109818685,2486035358,"-1532,-1708"
-1155967020,59554629,"1476,340"
-13644846,3815376674,"1460,-1644"
-60857002,1803835648,"932,-1020"
1530614989,3369382265,"1364,180"
1790841232,1509300525,"1060,372"
-402409514,213151472,"-1532,420"
-2062761329,3130877723,"-1500,-412"
-398882195,2984671649,"-1676,20"
-1435370986,1988781485,"1684,-252"
-1605666172,4259515654,"1492,-876"
1869760930,3921203679,"-956,980"
2072901068,3576917795,"788,-1852"
1158363287,135690917,"-860,260"
-762376389,889355280,"244,868"
1815743438,1617281787,"-1164,-860"
466129773,1819446407,"1044,84"
1769360595,922885111,"1476,772"
405716902,4274262272,"-492,692"
-1775272846,2470961764,"100,964"
-1773589205,3409069794,"308,-988"
247921042,1001439820,"-220,1284"
1558311475,1939184840,"1476,1588"
1055343794,1311285322,"-236,-1004"
914733891,3954531583,"772,-444"
538851758,2690269654,"-1052,420"
157770419,3004338420,"-1852,-1196"
1172830506,2715315102,"996,-604"
-2024850587,3145755799,"-1836,1556"
706742215,1869514882,"1668,1012"
-1846283349,2786626657,"-284,-1148"
459894536,4044210756,"-940,180"
150696213,2971588887,"-1084,1444"
47008510,1048229359,"-1100,-1180"
-1583687481,4274262272,"-1916,1012"
-52476254,2260723908,"900,740"
1441821214,2952289789,"788,1060"
1824165046,922885111,"1332,-988"
-69382085,2471853506,"-540,948"
-1841425775,3150228515,"-988,900"
-230776052,1784649745,"212,1348"
169711292,4180682555,"-412,-1548"
-1569454272,4016441406,"-1612,1652"
-17652191,3126626288,"-1020,116"
-2018699566,2971588887,"-1612,1060"
1432670405,3603804589,"228,-1116"
-339200522,3004338420,"-1228,-620"
770696970,2043576986,"-1228,1620"
2141695312,3571982813,"-1052,-300"
-1784314482,2752111907,"-1884,1300"
-1234443204,739840719,"84,1604"
942680974,401200881,"228,-876"
-1458877237,4142507097,"436,1076"
339535374,403585984,"-1180,132"
-652635475,3936473789,"1044,-556"
581007555,3139607200,"1412,-1100"
519357738,3357924277,"660,1028"
-1297746595,1815508399,"-876,-1484"
415735996,3584774985,"-348,-1164"
1061126284,1670756161,"-972,-380"
850261627,1525487214,"116,1508"
-239615085,2471853506,"692,-860"
230370568,2253667144,"1284,260"
-468295791,3345818081,"100,-924"
1243646745,213151472,"1060,-1676"
1734835964,642870113,"1588,1572"
10879640,3887981839,"-1132,36"
903331969,1815508399,"-1804,52"
-1000749122,2624527239,"980,-988"
1752897178,4018987072,"-1068,1652"
1558273868,1461655638,"-332,948"
-1878302923,2260723908,"308,804"
-615174572,1558828389,"-908,932"
-155680760,2918406033,"-1596,-300"
110218062,3712112775,"-1228,1540"
502043591,461412549,"1684,-1644"
842681016,3571982813,"4,-1580"
152575650,739840719,"-892,852"
1368233714,4061076252,"836,-1244"
-879716118,3345818081,"1284,-620"
-270565515,2547953771,"-1548,-940"
-857911311,257791329,"1044,1556"
-1765108987,3849019473,"772,324"
-557393759,2425033926,"148,1700"
