Seed,Stronghold Seed,Location
-950540852,2624527239,"84,2308"
-1411457545,2407125674,"-1164,1988"
-800688321,3449386450,"996,2068"
2132812006,343795143,"2148,-1004"
231147733,2521499299,"2116,-924"
-1762933978,3813919941,"2260,2340"
-439948838,3813919941,"-892,2068"
477467817,3004338420,"2004,-412"
1741370691,3887981839,"804,2148"
1141717487,1177172004,"2276,-1164"
1333695667,2952289789,"1332,2036"
-1518395863,3898581978,"1364,2180"
1555338267,3915215437,"2116,-604"
1770509682,59554629,"660,2276"
1644783001,3316723168,"2292,1444"
884755144,3954531583,"-1548,2212"
